ID,Age,Overall,Potential,Value,Wage,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,Release.Clause,Preferred.Foot,Work.Rate,Position,International.Reputation
173731,28,88,88,€60M,€355K,6'1,181lbs,89,89,89,89,89,89,89,89,88,88,88,88,83,83,83,88,76,73,73,73,76,74,70,70,70,74,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,€123M,Left,HighMedium,ST,4
167664,30,88,88,€57M,€245K,6'1,196lbs,88,88,88,84,86,86,86,84,83,83,83,81,74,74,74,81,58,56,56,56,58,54,51,51,51,54,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,,Right,HighMedium,LS,4
164240,33,88,88,€24M,€165K,6'0,181lbs,69,69,69,69,70,70,70,69,73,73,73,72,78,78,78,72,81,85,85,85,81,83,87,87,87,83,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85,€44.4M,Right,MediumHigh,RCB,4
205600,24,87,92,€57M,€205K,6'0,165lbs,73,73,73,72,72,72,72,72,72,72,72,73,76,76,76,73,83,84,84,84,83,84,87,87,87,84,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,€121.1M,Left,MediumHigh,CB,3
201399,25,87,90,€64.5M,€130K,5'11,165lbs,87,87,87,79,84,84,84,79,79,79,79,77,71,71,71,77,57,56,56,56,57,55,54,54,54,55,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,€114.5M,Right,MediumLow,ST,3
201024,27,87,90,€51M,€115K,6'2,196lbs,55,55,55,54,55,55,55,54,55,55,55,58,61,61,61,58,74,78,78,78,74,78,87,87,87,78,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,€90.5M,Right,HighHigh,LCB,3
195864,25,87,91,€64M,€210K,6'4,185lbs,84,84,84,85,85,85,85,85,86,86,86,86,87,87,87,86,80,81,81,81,80,78,77,77,77,78,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,€123.2M,Right,HighLow,RDM,4
192505,25,87,89,€62.5M,€230K,6'3,207lbs,87,87,87,82,84,84,84,82,81,81,81,82,75,75,75,82,63,61,61,61,63,60,57,57,57,60,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,€120.3M,Left,MediumMedium,ST,3
192387,28,87,87,€52M,€115K,6'1,187lbs,87,87,87,82,85,85,85,82,81,81,81,80,73,73,73,80,63,61,61,61,63,61,58,58,58,61,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,€88.4M,Right,HighMedium,ST,3
189332,29,87,87,€38M,€250K,5'7,150lbs,79,79,79,84,82,82,82,84,82,82,82,85,82,82,82,85,87,83,83,83,87,87,81,81,81,87,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85,€77.9M,Left,HighMedium,LB,3
175943,31,87,87,€45M,€135K,5'7,134lbs,81,81,81,89,88,88,88,89,89,89,89,88,81,81,81,88,68,63,63,63,68,63,49,49,49,63,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,€76.5M,Right,HighLow,RF,3
172871,31,87,87,€34M,€155K,6'2,190lbs,72,72,72,71,72,72,72,71,73,73,73,73,77,77,77,73,82,84,84,84,82,83,87,87,87,83,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,€62.9M,Left,HighHigh,LCB,3
171877,30,87,87,€46.5M,€125K,6'0,174lbs,84,84,84,85,86,86,86,85,87,87,87,85,87,87,87,85,80,81,81,81,80,78,75,75,75,78,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62,€79.1M,Right,HighMedium,LCM,3
168651,30,87,87,€46.5M,€260K,6'0,172lbs,80,80,80,83,84,84,84,83,85,85,85,84,87,87,87,84,80,82,82,82,80,78,73,73,73,78,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70,€95.3M,Right,HighHigh,RCM,4
152729,31,87,87,€34M,€240K,6'4,187lbs,71,71,71,67,69,69,69,67,70,70,70,69,76,76,76,69,78,84,84,84,78,80,86,86,86,80,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84,€69.7M,Right,HighMedium,RCB,4
222492,22,86,92,€61M,€195K,6'0,165lbs,84,84,84,86,86,86,86,86,84,84,84,85,76,76,76,85,67,61,61,61,67,63,54,54,54,63,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,€125.1M,Left,HighMedium,LW,2
218667,23,86,91,€59.5M,€180K,5'8,141lbs,77,77,77,86,84,84,84,86,86,86,86,86,82,82,82,86,70,67,67,67,70,65,55,55,55,65,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35,€114.5M,Left,HighMedium,RW,2
208722,26,86,87,€52M,€195K,5'9,152lbs,84,84,84,87,87,87,87,87,86,86,86,86,80,80,80,86,69,66,66,66,69,65,58,58,58,65,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,€102.7M,Right,HighMedium,LM,3
203376,26,86,88,€44.5M,€165K,6'4,203lbs,71,71,71,68,69,69,69,68,70,70,70,70,74,74,74,70,79,83,83,83,79,81,88,88,88,81,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84,€87.9M,Right,MediumMedium,LCB,3
202652,23,86,89,€56.5M,€195K,5'7,152lbs,79,79,79,87,86,86,86,87,86,86,86,87,80,80,80,87,72,66,66,66,72,69,55,55,55,69,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54,€108.8M,Right,HighMedium,RW,3
201942,26,86,87,€53M,€195K,5'11,168lbs,86,86,86,86,87,87,87,86,87,87,87,86,85,85,85,86,75,76,76,76,75,72,70,70,70,72,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,€104.7M,Right,HighHigh,CAM,3
201535,25,86,91,€50M,€210K,6'3,179lbs,65,65,65,64,66,66,66,64,67,67,67,67,72,72,72,67,78,82,82,82,78,81,86,86,86,81,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,€106.3M,Right,MediumHigh,RCB,3
199556,25,86,89,€55M,€135K,5'5,132lbs,72,72,72,81,80,80,80,81,84,84,84,83,87,87,87,83,83,86,86,86,83,81,79,79,79,81,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80,€105.9M,Right,MediumHigh,LCM,3
191043,27,86,86,€36.5M,€160K,5'11,176lbs,77,77,77,80,78,78,78,80,79,79,79,81,80,80,80,81,86,84,84,84,86,86,84,84,84,86,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,€60.2M,Left,HighHigh,LB,3
190483,27,86,86,€46.5M,€175K,5'8,154lbs,80,80,80,88,86,86,86,88,87,87,87,87,81,81,81,87,72,66,66,66,72,67,56,56,56,67,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,€76.7M,Left,HighMedium,LM,3
189596,28,86,86,€45M,€135K,6'1,165lbs,85,85,85,84,85,85,85,84,85,85,85,84,82,82,82,84,71,69,69,69,71,69,62,62,62,69,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,€74.3M,Right,HighHigh,CAM,4
189509,27,86,86,€45.5M,€130K,5'9,154lbs,78,78,78,85,84,84,84,85,87,87,87,85,87,87,87,85,79,80,80,80,79,76,70,70,70,76,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65,€75.1M,Right,MediumMedium,CM,3
188350,29,86,86,€43.5M,€100K,5'11,157lbs,85,85,85,88,88,88,88,88,88,88,88,87,82,82,82,87,71,67,67,67,71,67,57,57,57,67,79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,89,84,47,36,45,€74M,Right,HighMedium,LM,4
184432,28,86,86,€35M,€175K,5'10,168lbs,70,70,70,74,73,73,73,74,75,75,75,77,80,80,80,77,86,86,86,86,86,87,86,86,86,87,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,€64.8M,Right,MediumMedium,RB,3
184344,31,86,86,€30M,€160K,6'3,187lbs,68,68,68,66,68,68,68,66,71,71,71,68,77,77,77,68,77,85,85,85,77,79,87,87,87,79,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,€49.5M,Right,LowHigh,RCB,3
184087,29,86,87,€39M,€150K,6'1,179lbs,69,69,69,68,69,69,69,68,71,71,71,71,78,78,78,71,81,85,85,85,81,82,87,87,87,82,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86,€75.1M,Right,MediumMedium,RCB,3
180206,28,86,86,€44M,€180K,5'10,159lbs,75,75,75,82,81,81,81,82,84,84,84,83,86,86,86,83,81,83,83,83,81,79,76,76,76,79,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,€72.6M,Right,MediumMedium,CDM,3
177509,31,86,86,€30M,€160K,6'2,207lbs,64,64,64,60,61,61,61,60,60,60,60,63,65,65,65,63,76,79,79,79,76,78,87,87,87,78,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,€49.5M,Right,MediumHigh,CB,3
176635,29,86,86,€43.5M,€190K,5'11,168lbs,78,78,78,85,84,84,84,85,87,87,87,85,81,81,81,85,60,59,59,59,60,55,43,43,43,55,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19,€82.7M,Left,MediumLow,CAM,4
135507,33,86,86,€18M,€185K,5'10,148lbs,77,77,77,78,79,79,79,78,80,80,80,79,83,83,83,79,82,86,86,86,82,82,84,84,84,82,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80,€33.3M,Right,MediumHigh,CDM,3
41,34,86,86,€21.5M,€21K,5'7,150lbs,77,77,77,85,84,84,84,85,88,88,88,85,86,86,86,85,74,76,76,76,74,71,66,66,66,71,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56,€26.9M,Right,HighMedium,LF,4
232363,23,85,92,€46.5M,€82K,6'2,176lbs,59,59,59,58,59,59,59,58,60,60,60,62,67,67,67,62,75,80,80,80,75,78,85,85,85,78,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82,€88.4M,Right,MediumHigh,LCB,1
223848,23,85,90,€50.5M,€73K,6'3,168lbs,83,83,83,81,83,83,83,81,84,84,84,82,85,85,85,82,79,82,82,82,79,78,81,81,81,78,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,€89.6M,Right,HighMedium,CM,2
220834,22,85,92,€54M,€215K,6'0,168lbs,82,82,82,86,86,86,86,86,86,86,86,86,82,82,82,86,69,66,66,66,69,65,54,54,54,65,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,€121.5M,Left,HighMedium,RW,3
216594,24,85,89,€50M,€92K,5'8,165lbs,82,82,82,87,86,86,86,87,86,86,86,86,80,80,80,86,65,63,63,63,65,60,53,53,53,60,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25,€98.8M,Left,HighMedium,CAM,3
212622,23,85,88,€40.5M,€92K,5'9,154lbs,78,78,78,82,81,81,81,82,82,82,82,84,84,84,84,84,84,83,83,83,84,83,80,80,80,83,90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,44,82,75,81,79,€69.9M,Right,HighLow,RCM,3
208421,23,85,90,€50.5M,€77K,6'0,170lbs,83,83,83,82,84,84,84,82,84,84,84,83,85,85,85,83,81,83,83,83,81,81,81,81,81,81,69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,55,83,77,79,76,€107.3M,Left,HighHigh,RCM,3
204485,27,85,85,€40.5M,€205K,5'10,148lbs,80,80,80,87,85,85,85,87,86,86,86,86,80,80,80,86,66,62,62,62,66,60,50,50,50,60,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18,€74.9M,Left,MediumMedium,RW,3
197445,26,85,87,€38M,€110K,5'11,168lbs,79,79,79,81,81,81,81,81,82,82,82,82,83,83,83,82,85,84,84,84,85,85,82,82,82,85,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80,€65.6M,Left,HighMedium,LB,4
193747,26,85,86,€45M,€88K,5'9,163lbs,80,80,80,84,84,84,84,84,86,86,86,86,87,87,87,86,79,81,81,81,79,76,73,73,73,76,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,€95.6M,Right,HighHigh,LM,3
193301,27,85,86,€45M,€180K,5'9,161lbs,85,85,85,84,86,86,86,84,84,84,84,82,77,77,77,82,65,63,63,63,65,62,57,57,57,62,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30,€88.9M,Right,HighHigh,ST,3
192774,27,85,87,€37.5M,€96K,6'2,183lbs,52,52,52,52,51,51,51,52,52,52,52,56,59,59,59,56,75,77,77,77,75,79,86,86,86,79,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,€66.6M,Right,LowHigh,LCB,3
192366,30,85,85,€28.5M,€170K,6'0,179lbs,67,67,67,62,64,64,64,62,65,65,65,64,70,70,70,64,75,80,80,80,75,77,85,85,85,77,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84,€52.7M,Right,HighHigh,CB,3
189513,29,85,85,€37M,€66K,6'0,163lbs,76,76,76,79,79,79,79,79,82,82,82,80,85,85,85,80,76,79,79,79,76,73,71,71,71,73,84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,83,78,69,68,60,€77.7M,Right,MediumLow,RCM,2
187961,29,85,85,€37M,€235K,6'0,157lbs,84,84,84,82,84,84,84,82,84,84,84,82,85,85,85,82,81,84,84,84,81,81,83,83,83,81,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73,,Right,HighHigh,LDM,3
184941,29,85,85,€37.5M,€215K,5'7,163lbs,84,84,84,85,85,85,85,85,85,85,85,85,80,80,80,85,68,67,67,67,68,65,60,60,60,65,77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35,€69.4M,Right,HighHigh,RW,4
184267,28,85,85,€39M,€28K,5'9,146lbs,78,78,78,86,84,84,84,86,85,85,85,85,79,79,79,85,67,63,63,63,67,62,51,51,51,62,79,76,46,79,73,93,84,78,72,86,87,75,92,84,87,69,72,85,49,76,46,38,83,79,75,90,51,36,25,€78M,Right,HighMedium,LM,3
183907,29,85,85,€30M,€115K,6'4,198lbs,66,66,66,66,67,67,67,66,69,69,69,70,75,75,75,70,79,83,83,83,79,81,86,86,86,81,69,34,85,75,52,64,53,31,83,70,67,72,56,82,52,78,74,69,91,58,81,81,47,75,46,84,84,87,87,€49.5M,Right,MediumMedium,RCB,4
181872,31,85,85,€26M,€205K,5'11,165lbs,81,81,81,79,81,81,81,79,81,81,81,79,84,84,84,79,82,86,86,86,82,83,86,86,86,83,76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,81,82,87,86,€53.3M,Right,MediumMedium,CAM,4
